dbn,school_name,address,lat,lon,district,school_type,grades,has_mshp,chronic_absenteeism_rate,enrollment,uhf_code,uhf_name,asthma_ed_rate,asthma_hosp_rate,svi_socioeconomic,svi_household_disability,svi_minority_language,svi_housing_transport,svi_overall,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,teen_pregnancy_rate,preventable_hosp_rate,food_insecurity_pct,expansion_cohort,estimated_start_year,years_with_mshp,health_burden_composite
09X053,P.S. 053 Basheer Quisim,360 EAST 168 STREET,40.832648,-73.911906,9,Elementary,"PK,0K,01,02,03,04,05",False,40.08683014,691.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.9109999999999999,0.367,0.127,0.266,0.701,0.015,0.017,32.8,158.3,3.8,42.3,245.2,35.8,,,,91.77022147534737
10X054,P.S./I.S. 54,2703 WEBSTER AVENUE,40.864872,-73.88794,10,Middle School,"PK,0K,01,02,03,04,05",False,37.96791458,374.0,103,Fordham - Bronx Park,132.4,344.5,0.78,0.72,0.82,0.7,0.7549999999999999,0.9390000000000001,0.173,0.152,0.176,0.763,0.024,0.024,28.4,115.3,2.1,28.4,185.6,24.5,,,,66.67577206983725
09X055,P.S. 055 Benjamin Franklin,450 SAINT PAUL'S PLACE,40.835934,-73.90497,9,Elementary,"PK,0K,01,02,03,04,05",True,45.30685806,554.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.96,0.076,0.175,0.45,0.54,0.006,0.0,32.8,158.3,3.8,42.3,245.2,35.8,cohort_2_2010_2015,2012.0,12.0,91.77022147534737
10X056,P.S. 056 Norwood Heights,341 EAST 207 STREET,40.875481,-73.874912,10,Elementary,"0K,01,02,03,04,05",False,39.42598343,662.0,103,Fordham - Bronx Park,132.4,344.5,0.78,0.72,0.82,0.7,0.7549999999999999,0.8240000000000001,0.176,0.245,0.076,0.626,0.075,0.202,28.4,115.3,2.1,28.4,185.6,24.5,,,,66.67577206983725
12X057,P.S. 057 Crescent,2111 CROTONA AVENUE,40.848748,-73.888987,12,Elementary,"PK,0K,01,02,03,04,05",False,43.13725662,408.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.9009999999999999,0.181,0.222,0.295,0.643,0.022,0.007,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
09X058,P.S. 058,459 EAST 176 STREET,40.846383,-73.898826,9,Elementary,"0K,01,02,03,04,05,06",False,43.57366943,319.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.9129999999999999,0.308,0.231,0.207,0.772,0.015,0.003,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
10X059,P.S. 059 The Community School of Technology,2185 BATHGATE AVENUE,40.853141,-73.893639,10,Elementary,"PK,0K,01,02,03,04,05",False,43.88489151,417.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.177,0.263,0.347,0.62,0.023,0.0,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
12X061,P.S. 061 Francisco Oller,1550 CROTONA PARK EAST,40.836156,-73.892784,12,Elementary,"PK,0K,01,02,03,04,05",False,37.43589783,195.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.108,0.149,0.158,0.805,0.012,0.008,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
08X062,P.S. 062 Inocensio Casanova,660 FOX STREET,40.813736,-73.900161,8,Elementary,"PK,0K,01,02,03,04,05",False,41.97530746,486.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.96,0.16,0.253,0.183,0.795,0.014,0.0,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
09X063,P.S. 063 Author's Academy,1260 FRANKLIN AVENUE,40.83093,-73.901859,9,Elementary,"PK,0K,01,02,03,04,05",False,40.14778137,406.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.96,0.199,0.238,0.317,0.632,0.028,0.009,32.8,158.3,3.8,42.3,245.2,35.8,,,,91.77022147534737
