priority_rank,dbn,school_name,school_type,address,uhf_name,asthma_ed_rate,chronic_absenteeism_rate,enrollment,asthma_score,absenteeism_score,enrollment_score,priority_score,priority_tier
87,07X029,P.S./M.S. 029 Melrose School,Middle School,758 COURTLANDT AVENUE,High Bridge - Morrisania,178.0,33.04093552,684.0,78.8,26.9,86.7,59.6,Tier 2 - High
88,10X003,P.S. 3 Raul Julia Micro Society,Elementary,2100 LAFONTAINE AVENUE,Crotona - Tremont,171.9,44.30769348,325.0,57.7,78.3,24.5,59.3,Tier 2 - High
89,07X221,South Bronx Preparatory: A College Board School,High School,360 EAST 145 STREET,Hunts Point - Mott Haven,192.3,26.50793648,630.0,94.1,12.2,83.6,59.2,Tier 2 - High
90,09X505,"Bronx School for Law, Government and Justice",Other,244 EAST 163 STREET,High Bridge - Morrisania,178.0,32.35293961,714.0,78.8,24.1,88.8,59.0,Tier 2 - High
91,07X296,South Bronx Academy for Applied Media,High School,778 FOREST AVENUE,High Bridge - Morrisania,178.0,41.530056,183.0,78.8,65.7,4.5,58.7,Tier 2 - High
92,12X318,"I.S. X318 Math, Science & Technology Through Arts",Middle School,1919 PROSPECT AVENUE,Crotona - Tremont,171.9,45.5149498,301.0,57.7,79.4,19.2,58.7,Tier 2 - High
93,11X089,P.S. 089 Bronx,Elementary,980 MACE AVENUE,Northeast Bronx,104.6,42.02551651,1254.0,28.1,68.9,99.0,58.6,Tier 2 - High
94,08X138,P.S. 138 Samuel Randall,Elementary,2060 LAFAYETTE AVENUE,Pelham - Throgs Neck,98.3,53.05755234,556.0,14.2,93.4,77.8,58.6,Tier 2 - High
95,09X035,P.S. 035 Franz Siegel,Elementary,261 EAST 163 STREET,High Bridge - Morrisania,178.0,38.55721283,402.0,78.8,44.8,43.9,58.2,Tier 2 - High
96,10X205,P.S. 205 Fiorello LaGuardia,Elementary,2475 SOUTHERN BOULEVARD,Fordham - Bronx Park,132.4,41.41414261,594.0,39.7,65.4,79.7,58.0,Tier 2 - High
97,07X005,P.S. 5 Port Morris,Elementary,564 JACKSON AVENUE,Hunts Point - Mott Haven,192.3,23.98884201,717.0,94.1,6.3,89.2,58.0,Tier 2 - High
98,12X595,P.S. 595,Elementary,700 EAST 179 STREET,Crotona - Tremont,171.9,45.72490692,269.0,57.7,79.7,14.0,57.8,Tier 2 - High
99,10X077,Bedford Park Elementary School,Elementary,3177 WEBSTER AVENUE,Fordham - Bronx Park,132.4,42.30769348,468.0,39.7,70.1,69.1,57.7,Tier 2 - High
100,09X058,P.S. 058,Elementary,459 EAST 176 STREET,Crotona - Tremont,171.9,43.57366943,319.0,57.7,75.2,22.2,57.6,Tier 2 - High
101,10X023,P.S. 023 The New Children's School,Elementary,2151 WASHINGTON AVENUE,Crotona - Tremont,171.9,41.860466,387.0,57.7,67.5,37.1,57.5,Tier 2 - High
102,09X004,P.S./M.S. 004 Crotona Park West,Middle School,1701 FULTON AVENUE,Crotona - Tremont,171.9,45.81673431,251.0,57.7,80.4,11.2,57.5,Tier 2 - High
103,12X273,Frederick Douglass Academy V. Middle School,Middle School,2111 CROTONA AVENUE,Crotona - Tremont,171.9,46.55172348,174.0,57.7,81.8,3.5,56.5,Tier 2 - High
104,07X522,Bronx Design and Construction Academy,High School,333 EAST 151 STREET,High Bridge - Morrisania,178.0,39.16666794,240.0,78.8,57.7,9.3,56.5,Tier 2 - High
105,10X056,P.S. 056 Norwood Heights,Elementary,341 EAST 207 STREET,Fordham - Bronx Park,132.4,39.42598343,662.0,39.7,58.7,85.5,56.5,Tier 2 - High
106,08X072,P.S. 072 Dr. William Dorney,Elementary,2951 DEWEY AVENUE,Pelham - Throgs Neck,98.3,47.14064789,647.0,14.2,84.3,83.9,56.2,Tier 2 - High
107,07X157,P.S. 157 Grove Hill,Elementary,757 CAULDWELL AVENUE,High Bridge - Morrisania,178.0,35.26570129,414.0,78.8,31.8,58.2,55.9,Tier 2 - High
108,07X179,P.S. 179,Elementary,468 EAST 140 STREET,Hunts Point - Mott Haven,192.3,37.82608795,230.0,94.1,41.3,8.4,55.8,Tier 2 - High
109,10X009,P.S. 9 Ryer Avenue Elementary School,Elementary,230 EAST 183 STREET,Crotona - Tremont,171.9,38.24091721,523.0,57.7,43.4,75.5,55.5,Tier 2 - High
110,09X525,Bronx Leadership Academy High School,High School,1710 WEBSTER AVENUE,Crotona - Tremont,171.9,39.44020462,393.0,57.7,59.1,39.9,54.7,Tier 2 - High
111,12X190,E.S.M.T- I.S. 190,Middle School,1550 CROTONA PARK EAST,Crotona - Tremont,171.9,43.20987701,243.0,57.7,73.1,10.1,54.3,Tier 2 - High
112,08X302,M.S. 302 Luisa Dessus Cruz,Middle School,681 KELLY STREET,Hunts Point - Mott Haven,192.3,32.57790375,353.0,94.1,24.8,31.5,53.8,Tier 2 - High
113,09X260,Bronx Center for Science and Mathematics,Other,1363 FULTON AVENUE,High Bridge - Morrisania,178.0,36.27204132,397.0,78.8,34.6,42.1,53.8,Tier 2 - High
114,09X294,The Walton Avenue School,Other,1425 WALTON AVENUE,High Bridge - Morrisania,178.0,38.27160645,324.0,78.8,43.7,24.0,53.8,Tier 2 - High
115,07X025,P.S. 025 Bilingual School,Elementary,811 EAST 149 STREET,Hunts Point - Mott Haven,192.3,25.11520767,434.0,94.1,8.7,62.9,53.7,Tier 2 - High
116,08X152,P.S. 152 Evergreen,Elementary,1007 EVERGREEN AVENUE,Pelham - Throgs Neck,98.3,43.46630096,727.0,14.2,74.8,90.0,53.6,Tier 3 - Moderate
117,11X556,Bronx Park Middle School,Middle School,2441 WALLACE AVENUE,Fordham - Bronx Park,132.4,46.22356415,331.0,39.7,81.5,24.8,53.4,Tier 3 - Moderate
118,07X584,I.S. 584,Middle School,600 SAINT ANN'S AVENUE,Hunts Point - Mott Haven,192.3,36.71497726,207.0,94.1,36.4,5.9,53.4,Tier 3 - Moderate
119,10X045,Thomas C. Giordano Middle School 45,Middle School,2502 LORILLARD PLACE,Fordham - Bronx Park,132.4,39.61455917,467.0,39.7,59.4,68.5,53.4,Tier 3 - Moderate
120,08X424,The Hunts Point School,Other,730 BRYANT AVENUE,Hunts Point - Mott Haven,192.3,36.81318665,182.0,94.1,37.1,4.2,53.3,Tier 3 - Moderate
121,11X112,P.S. 112 Bronxwood,Elementary,1925 SCHIEFFELIN AVENUE,Northeast Bronx,104.6,46.98492432,398.0,28.1,83.6,42.8,53.2,Tier 3 - Moderate
122,10X037,P.S. X037 - Multiple Intelligence School,Elementary,360 WEST 230 STREET,Kingsbridge - Riverdale,44.8,53.81443405,485.0,3.0,94.8,70.8,53.2,Tier 3 - Moderate
123,09X311,Lucero Elementary School,Elementary,1425 WALTON AVENUE,High Bridge - Morrisania,178.0,38.0062294,321.0,78.8,42.7,22.9,53.2,Tier 3 - Moderate
124,10X319,Providing Urban Learners Success In Education High,Other,560 EAST 179 STREET,Crotona - Tremont,171.9,,,57.7,50.2,50.0,53.2,Tier 3 - Moderate
125,75X352,The Vida Bogart School for All Children,Other,1000 EAST TREMONT AVENUE,Crotona - Tremont,171.9,,,57.7,50.2,50.0,53.2,Tier 3 - Moderate
126,75X188,P.S. X188,Elementary,770 GROTE STREET,Crotona - Tremont,171.9,,,57.7,50.2,50.0,53.2,Tier 3 - Moderate
127,12X098,J.H.S. 098 Herman Ridder,Middle School,1619 BOSTON ROAD,Crotona - Tremont,171.9,,,57.7,50.2,50.0,53.2,Tier 3 - Moderate
128,10X382,"Elementary School for Math, Science, and Technolog",Elementary,125 EAST 181 STREET,Crotona - Tremont,171.9,,,57.7,50.2,50.0,53.2,Tier 3 - Moderate
129,07X369,Young Leaders Elementary School,Elementary,468 EAST 140 STREET,Hunts Point - Mott Haven,192.3,36.13445282,238.0,94.1,33.9,8.7,52.9,Tier 3 - Moderate
130,12X286,Fannie Lou Hamer Middle School,Middle School,1001 JENNINGS STREET,Crotona - Tremont,171.9,41.69741821,271.0,57.7,66.4,14.3,52.5,Tier 3 - Moderate
131,12X314,Fairmont Neighborhood School,Other,1550 VYSE AVENUE,Crotona - Tremont,171.9,41.1971817,284.0,57.7,64.7,16.6,52.3,Tier 3 - Moderate
132,09X454,Science and Technology Academy: A Mott Hall School,High School,250 EAST 164 STREET,High Bridge - Morrisania,178.0,36.29032135,372.0,78.8,35.0,33.4,52.2,Tier 3 - Moderate
133,11X121,P.S. 121 Throop,Elementary,2750 THROOP AVENUE,Northeast Bronx,104.6,39.90825653,654.0,28.1,59.8,84.6,52.1,Tier 3 - Moderate
134,11X270,Academy for Scholarship and Entrepreneurship: A Co,High School,921 EAST 228TH STREET,Northeast Bronx,104.6,41.79104614,469.0,28.1,67.1,69.6,52.0,Tier 3 - Moderate
135,08X107,P.S. 107,Elementary,1695 SEWARD AVENUE,Pelham - Throgs Neck,98.3,46.78492355,451.0,14.2,82.5,66.1,51.9,Tier 3 - Moderate
136,10X524,Crotona International High School,High School,2474 CROTONA AVENUE,Fordham - Bronx Park,132.4,42.27848053,395.0,39.7,69.6,40.7,51.8,Tier 3 - Moderate
