dbn,school_name,has_mshp,propensity_score,ps_quintile,chronic_absenteeism_rate
10X445,The Bronx High School of Science,True,0.1553460169717547,Q1,10.27721405
10X447,Creston Academy,False,0.21696750201051937,Q2,31.40877533
08X448,Soundview Academy for Culture and Scholarship,False,0.2520303987887539,Q4,56.47058868
09X449,Grant Avenue Elementary School,False,0.22368387690438563,Q2,40.36458206
08X452,Gotham Collaborative High School,True,0.23095514426558844,Q3,40.47618866
09X454,Science and Technology Academy: A Mott Hall School,False,0.2219527187678902,Q2,36.29032135
11X455,Harry S Truman High School,False,0.1664990441345718,Q1,21.4285717
09X457,Sheridan Academy for Young Leaders,False,0.21308406423914064,Q1,40.49216843
12X458,Samara Community School,False,0.21859740436275363,Q2,25.14619827
11X462,Cornerstone Academy for Social Action Middle Schoo,False,0.28163056639385553,Q5,43.57542038
12X463,Urban Scholars Community School,True,0.22565437338128974,Q3,42.23602295
08X467,Mott Hall Community School,False,0.24427430908469772,Q4,49.29577637
11X468,Pelham Academy of Academics and Community Engageme,False,0.2715510018557919,Q5,29.19463158
07X473,Mott Haven Village Preparatory High School,True,0.21658447378180432,Q2,47.22222137
10X477,Marble Hill High School for International Studies,False,0.34349933565013147,Q5,29.03225899
12X478,The Cinema School,False,0.2387737615665163,Q4,51.09717941
12X479,Bronx Career and College Preparatory High School,False,0.24146276976577016,Q4,69.7530899
11X481,The STEAM Bridge School,False,0.24255463160972004,Q4,28.22299576
11X483,The Matilda Avenue School,False,0.2571417620879146,Q4,36.328125
07X495,University Heights Secondary School,True,0.20802124523889046,Q1,26.97368431
11X498,P.S./M.S. 11X498 - Van Nest Academy,False,0.23328388695824298,Q3,23.57723618
07X500,Hostos-Lincoln Academy of Science,False,0.21630966973489021,Q2,52.56410217
09X505,"Bronx School for Law, Government and Justice",False,0.20102039206841793,Q1,32.35293961
11X508,Bronxdale High School,True,0.24284125018943523,Q4,25.42787361
11X509,High School of Language and Innovation,True,0.24776919309646647,Q4,28.11059952
12X511,Bronx Envision Academy,True,0.23595609570484172,Q3,53.08219147
11X513,New World High School,False,0.24487699030490406,Q4,25.92592621
11X514,The Bronxwood Preparatory Academy,False,0.25806893772464456,Q4,20.74592018
09X517,Frederick Douglass Academy III Secondary School,False,0.2362786598671382,Q3,30.53435135
12X521,The Metropolitan Soundview High School,False,0.22329080025031742,Q2,38.70967865
07X522,Bronx Design and Construction Academy,False,0.2370625289198023,Q4,39.16666794
10X524,Crotona International High School,False,0.29694557346530065,Q5,42.27848053
09X525,Bronx Leadership Academy High School,False,0.21987768001477181,Q2,39.44020462
07X527,Bronx Leadership Academy II High School,True,0.22441815891271455,Q3,51.90839767
11X529,One World Middle School at Edenwald,True,0.2612040213792979,Q5,30.83832359
08X530,Longwood Preparatory Academy,False,0.2115335205428447,Q1,52.49343872
12X531,Archer Elementary School,False,0.22056941804771432,Q2,27.27272797
11X532,Baychester Middle School,True,0.26137591916617153,Q5,44.72843552
12X536,P.S. 536,False,0.22645980018020812,Q3,21.54340744
11X542,Pelham Preparatory Academy,True,0.2682181115278252,Q5,28.69198227
09X543,High School for Violin and Dance,True,0.2423437744733073,Q4,37.67123413
11X544,High School for Contemporary Arts,True,0.2791504625003727,Q5,53.01587296
11X545,Bronx Aerospace High School,True,0.28212332554939634,Q5,32.66832733
