dbn,school_name,school_type,enrollment,uhf_name,lat,lon,chronic_absenteeism_rate,asthma_ed_rate,svi_overall,svi_socioeconomic,distance_to_nearest_mshp_miles,accessibility_tier,asthma_score,absenteeism_score,enrollment_score,svi_score,isolation_score,enhanced_priority_score,enhanced_priority_rank,enhanced_priority_tier
07X343,Academy of Applied Mathematics and Technology,High School,285.0,Hunts Point - Mott Haven,40.810314,-73.918774,24.56140327,192.3,0.9125,0.95,0.46597880595649355,Close (0.25-0.5 mi),94.05594405594405,18.181818181818183,27.62237762237762,94.05594405594405,53.4965034965035,62.83216783216783,58,Tier 2 - High (10-25%)
09X063,P.S. 063 Author's Academy,Elementary,406.0,High Bridge - Morrisania,40.83093,-73.901859,40.14778137,178.0,0.8775,0.92,0.19665496798659235,Very Close (<0.25 mi),78.84615384615384,61.53846153846154,56.81818181818182,78.84615384615384,15.734265734265735,62.61363636363636,59,Tier 2 - High (10-25%)
09X250,Eximius College Preparatory Academy: A College Boa,High School,377.0,High Bridge - Morrisania,40.833884,-73.902794,42.97082138,178.0,0.8775,0.92,0.1816751939591389,Very Close (<0.25 mi),78.84615384615384,72.37762237762237,45.10489510489511,78.84615384615384,12.412587412587413,62.52622377622377,60,Tier 2 - High (10-25%)
09X361,The Highbridge Green School,Other,416.0,High Bridge - Morrisania,40.838232,-73.927892,27.40384674,178.0,0.8775,0.92,0.516315026434592,Moderate (0.5-1 mi),78.84615384615384,24.475524475524477,58.91608391608392,78.84615384615384,61.53846153846154,62.38636363636364,61,Tier 2 - High (10-25%)
07X001,P.S. 001 Courtlandt School,Elementary,447.0,High Bridge - Morrisania,40.819331,-73.919634,37.3601799,178.0,0.8775,0.92,0.2240023686818323,Very Close (<0.25 mi),78.84615384615384,49.65034965034965,65.20979020979021,78.84615384615384,20.62937062937063,62.22902097902098,62,Tier 2 - High (10-25%)
09X022,J.H.S. 022 Jordan L. Mott,Middle School,303.0,High Bridge - Morrisania,40.832022,-73.91435,41.9141922,178.0,0.8775,0.92,0.3170887291794764,Close (0.25-0.5 mi),78.84615384615384,68.18181818181817,30.069930069930066,78.84615384615384,30.944055944055943,62.21153846153845,63,Tier 2 - High (10-25%)
12X479,Bronx Career and College Preparatory High School,High School,162.0,High Bridge - Morrisania,40.826933,-73.900593,69.7530899,178.0,0.8775,0.92,0.10472985459682765,Very Close (<0.25 mi),78.84615384615384,100.0,12.937062937062937,78.84615384615384,3.6713286713286712,61.91433566433566,64,Tier 2 - High (10-25%)
07X584,I.S. 584,Middle School,207.0,Hunts Point - Mott Haven,40.814857,-73.912038,36.71497726,192.3,0.9125,0.95,0.22102375078183414,Very Close (<0.25 mi),94.05594405594405,46.85314685314685,16.433566433566433,94.05594405594405,19.755244755244757,61.82692307692308,65,Tier 2 - High (10-25%)
10X225,Theatre Arts Production Company School,Other,433.0,Crotona - Tremont,40.854257,-73.897404,51.50115585,171.9,0.8524999999999999,0.88,0.3376689879257542,Close (0.25-0.5 mi),57.692307692307686,91.25874125874127,62.41258741258741,57.692307692307686,35.48951048951049,61.78321678321678,66,Tier 2 - High (10-25%)
12X067,P.S. 067 Mohegan School,Elementary,343.0,Crotona - Tremont,40.843781,-73.884192,45.77259445,171.9,0.8524999999999999,0.88,0.6189055305068214,Moderate (0.5-1 mi),57.692307692307686,80.06993006993007,39.68531468531469,57.692307692307686,69.23076923076923,61.19755244755244,67,Tier 2 - High (10-25%)
09X449,Grant Avenue Elementary School,Elementary,384.0,High Bridge - Morrisania,40.828009,-73.917705,40.36458206,178.0,0.8775,0.92,0.1942605199853488,Very Close (<0.25 mi),78.84615384615384,62.23776223776224,47.2027972027972,78.84615384615384,14.51048951048951,61.12762237762237,68,Tier 2 - High (10-25%)
09X241,Urban Assembly School for Applied Math and Science,Other,541.0,Crotona - Tremont,40.839508,-73.901774,57.67097855,171.9,0.8524999999999999,0.88,0.15238523598517564,Very Close (<0.25 mi),57.692307692307686,97.2027972027972,76.92307692307693,57.692307692307686,8.041958041958042,61.031468531468526,69,Tier 2 - High (10-25%)
