dbn,school_name,lat,lon,uhf_name,distance_to_nearest_mshp_miles,nearest_mshp_dbn,nearest_mshp_name,walking_time_mins,accessibility_tier
10X319,Providing Urban Learners Success In Education High,40.848385,-73.893744,Crotona - Tremont,0.5267162834581457,09X028,P.S. 028 Mount Hope,10.534325669162914,Moderate (0.5-1 mi)
09X323,Bronx Writing Academy,40.832022,-73.91435,High Bridge - Morrisania,0.3170887291794764,09X328,New Millennium Bronx Academy of the Arts,6.341774583589528,Close (0.25-0.5 mi)
09X324,Bronx Early College Academy for Teaching & Learnin,40.828009,-73.917705,High Bridge - Morrisania,0.1942605199853488,09X328,New Millennium Bronx Academy of the Arts,3.885210399706976,Very Close (<0.25 mi)
11X326,Bronx Green Middle School,40.862098,-73.865028,Fordham - Bronx Park,0.2520886019817358,11X288,Collegiate Institute for Math and Science,5.041772039634717,Close (0.25-0.5 mi)
10X331,The Bronx School of Young Leaders,40.850722,-73.910827,Crotona - Tremont,0.40136175760423015,09X028,P.S. 028 Mount Hope,8.027235152084604,Close (0.25-0.5 mi)
08X333,The Longwood Academy of Discovery,40.820108,-73.898399,Hunts Point - Mott Haven,0.20851607493196891,12X446,Arturo A. Schomburg Satellite Academy Bronx,4.170321498639378,Very Close (<0.25 mi)
07X334,International Community High School,40.810314,-73.918774,Hunts Point - Mott Haven,0.46597880595649355,07X018,P.S. 018 John Peter Zenger,9.31957611912987,Close (0.25-0.5 mi)
08X337,The School for Inquiry and Social Justice,40.824989,-73.874162,Pelham - Throgs Neck,0.9882891387703466,08X312,Millennium Art Academy,19.765782775406933,Moderate (0.5-1 mi)
10X340,P.S. 340,40.869407,-73.897171,Fordham - Bronx Park,0.0245292145976937,10X268,Kingsbridge International High School,0.490584291953874,Very Close (<0.25 mi)
07X343,Academy of Applied Mathematics and Technology,40.810314,-73.918774,Hunts Point - Mott Haven,0.46597880595649355,07X018,P.S. 018 John Peter Zenger,9.31957611912987,Close (0.25-0.5 mi)
75X352,The Vida Bogart School for All Children,40.840445,-73.882531,Crotona - Tremont,0.5116200268534349,12X251,Explorations Academy H.S.,10.232400537068697,Moderate (0.5-1 mi)
11X357,Young Voices Academy of the Bronx,40.854423,-73.863733,Pelham - Throgs Neck,0.1617834015817027,11X105,P.S. 105 Sen Abraham Bernstein,3.235668031634054,Very Close (<0.25 mi)
07X359,Concourse Village Elementary School,40.823014,-73.922527,High Bridge - Morrisania,0.07863907283302006,07X031,P.S./M.S. 031 The William Lloyd Garrison,1.5727814566604013,Very Close (<0.25 mi)
10X360,P.S. 360,40.874717,-73.902214,Kingsbridge - Riverdale,0.4744349376149577,10X268,Kingsbridge International High School,9.488698752299154,Close (0.25-0.5 mi)
09X361,The Highbridge Green School,40.838232,-73.927892,High Bridge - Morrisania,0.516315026434592,09X199,P.S. 199X - The Shakespeare School,10.32630052869184,Moderate (0.5-1 mi)
10X363,Academy For Personal Leadership And Excellence,40.859496,-73.90049,Fordham - Bronx Park,0.3086053003170146,10X085,P.S. 085 Great Expectations,6.172106006340292,Close (0.25-0.5 mi)
09X365,Academy for Language and Technology,40.849416,-73.915217,Crotona - Tremont,0.39219007412031853,09X229,I.S. 229 Roland Patterson,7.843801482406371,Close (0.25-0.5 mi)
10X368,In-Tech Academy (M.S. / High School 368),40.877935,-73.913694,Kingsbridge - Riverdale,1.063378844684578,10X268,Kingsbridge International High School,21.26757689369156,Far (>1 mi)
07X369,Young Leaders Elementary School,40.80908,-73.919773,Hunts Point - Mott Haven,0.5263540874809388,07X018,P.S. 018 John Peter Zenger,10.527081749618777,Moderate (0.5-1 mi)
08X371,Urban Institute of Mathematics,40.826794,-73.818083,Pelham - Throgs Neck,1.4380419714453594,08X293,Renaissance High School for Musical Theater and th,28.76083942890719,Far (>1 mi)
07X379,Jill Chaifetz Transfer High School,40.818703,-73.905389,High Bridge - Morrisania,0.3297001445980488,07X473,Mott Haven Village Preparatory High School,6.594002891960976,Close (0.25-0.5 mi)
07X381,Bronx Haven High School,40.818645,-73.919949,High Bridge - Morrisania,0.21303154765431873,07X018,P.S. 018 John Peter Zenger,4.260630953086374,Very Close (<0.25 mi)
10X382,"Elementary School for Math, Science, and Technolog",40.855337,-73.903139,Crotona - Tremont,0.4845123847836342,09X028,P.S. 028 Mount Hope,9.690247695672683,Close (0.25-0.5 mi)
12X383,Emolior Academy,40.839297,-73.879931,Crotona - Tremont,0.5958379949786706,12X251,Explorations Academy H.S.,11.916759899573412,Moderate (0.5-1 mi)
10X386,School for Environmental Citizenship,40.855337,-73.903139,Crotona - Tremont,0.4845123847836342,09X028,P.S. 028 Mount Hope,9.690247695672683,Close (0.25-0.5 mi)
12X388,Pan American International High School at Monroe,40.832508,-73.878191,Pelham - Throgs Neck,0.6977992668893075,12X251,Explorations Academy H.S.,13.95598533778615,Moderate (0.5-1 mi)
10X390,M.S. 390,40.854335,-73.913016,Crotona - Tremont,0.46813761725130476,09X229,I.S. 229 Roland Patterson,9.362752345026095,Close (0.25-0.5 mi)
10X391,The Angelo Patri Middle School,40.854257,-73.897404,Crotona - Tremont,0.3376689879257542,10X085,P.S. 085 Great Expectations,6.753379758515084,Close (0.25-0.5 mi)
08X392,Bronx Delta School,40.826794,-73.818083,Pelham - Throgs Neck,1.4380419714453594,08X293,Renaissance High School for Musical Theater and th,28.76083942890719,Far (>1 mi)
10X396,P.S. 396,40.854335,-73.913016,Crotona - Tremont,0.46813761725130476,09X229,I.S. 229 Roland Patterson,9.362752345026095,Close (0.25-0.5 mi)
10X397,English Language Learners and International Suppor,40.877379,-73.912686,Kingsbridge - Riverdale,0.9982001892234688,10X268,Kingsbridge International High School,19.964003784469377,Moderate (0.5-1 mi)
09X404,School for Excellence,40.827455,-73.90392,High Bridge - Morrisania,0.0,09X297,Morris Academy for Collaborative Studies,0.0,
11X418,Bronx High School for the Visual Arts,40.851577,-73.864438,Pelham - Throgs Neck,0.14079079783040716,11X105,P.S. 105 Sen Abraham Bernstein,2.815815956608143,Very Close (<0.25 mi)
08X424,The Hunts Point School,40.815827,-73.885284,Hunts Point - Mott Haven,0.6410092391260716,12X217,School of Performing Arts,12.82018478252143,Moderate (0.5-1 mi)
07X427,Community School for Social Justice,40.815712,-73.92996,High Bridge - Morrisania,0.38251394850109366,07X018,P.S. 018 John Peter Zenger,7.650278970021873,Close (0.25-0.5 mi)
09X443,The Family School,40.831873,-73.917526,High Bridge - Morrisania,0.35583147854923625,09X328,New Millennium Bronx Academy of the Arts,7.116629570984725,Close (0.25-0.5 mi)
10X447,Creston Academy,40.855337,-73.903139,Crotona - Tremont,0.4845123847836342,09X028,P.S. 028 Mount Hope,9.690247695672683,Close (0.25-0.5 mi)
08X448,Soundview Academy for Culture and Scholarship,40.822925,-73.859998,Pelham - Throgs Neck,0.2432253713639367,08X312,Millennium Art Academy,4.864507427278734,Very Close (<0.25 mi)
09X449,Grant Avenue Elementary School,40.828009,-73.917705,High Bridge - Morrisania,0.1942605199853488,09X328,New Millennium Bronx Academy of the Arts,3.885210399706976,Very Close (<0.25 mi)
09X454,Science and Technology Academy: A Mott Hall School,40.828009,-73.917705,High Bridge - Morrisania,0.1942605199853488,09X328,New Millennium Bronx Academy of the Arts,3.885210399706976,Very Close (<0.25 mi)
11X455,Harry S Truman High School,40.874035,-73.831669,Northeast Bronx,0.9268206870715487,11X355,Bronx Alliance Middle School,18.536413741430977,Moderate (0.5-1 mi)
09X457,Sheridan Academy for Young Leaders,40.831873,-73.917526,High Bridge - Morrisania,0.35583147854923625,09X328,New Millennium Bronx Academy of the Arts,7.116629570984725,Close (0.25-0.5 mi)
12X458,Samara Community School,40.834188,-73.886995,Crotona - Tremont,0.23567756120913788,12X251,Explorations Academy H.S.,4.7135512241827575,Very Close (<0.25 mi)
11X462,Cornerstone Academy for Social Action Middle Schoo,40.882778,-73.830616,Northeast Bronx,0.5233840865646124,11X355,Bronx Alliance Middle School,10.467681731292249,Moderate (0.5-1 mi)
08X467,Mott Hall Community School,40.826794,-73.818083,Pelham - Throgs Neck,1.4380419714453594,08X293,Renaissance High School for Musical Theater and th,28.76083942890719,Far (>1 mi)
11X468,Pelham Academy of Academics and Community Engageme,40.862098,-73.865028,Fordham - Bronx Park,0.2520886019817358,11X288,Collegiate Institute for Math and Science,5.041772039634717,Close (0.25-0.5 mi)
75X469,P469X - The Bronx School for Continuous Learners,40.872559,-73.875375,Fordham - Bronx Park,0.4166304627628828,10X008,P.S. 008 Isaac Varian,8.332609255257656,Close (0.25-0.5 mi)
10X477,Marble Hill High School for International Studies,40.877379,-73.912686,Kingsbridge - Riverdale,0.9982001892234688,10X268,Kingsbridge International High School,19.964003784469377,Moderate (0.5-1 mi)
12X478,The Cinema School,40.832508,-73.878191,Pelham - Throgs Neck,0.6977992668893075,12X251,Explorations Academy H.S.,13.95598533778615,Moderate (0.5-1 mi)
12X479,Bronx Career and College Preparatory High School,40.826933,-73.900593,High Bridge - Morrisania,0.10472985459682765,12X463,Urban Scholars Community School,2.094597091936553,Very Close (<0.25 mi)
11X481,The STEAM Bridge School,40.843531,-73.865498,Pelham - Throgs Neck,0.6606816179955365,11X105,P.S. 105 Sen Abraham Bernstein,13.21363235991073,Moderate (0.5-1 mi)
11X483,The Matilda Avenue School,40.901436,-73.854402,Northeast Bronx,1.314713648256945,11X355,Bronx Alliance Middle School,26.2942729651389,Far (>1 mi)
11X498,P.S./M.S. 11X498 - Van Nest Academy,40.845023,-73.857989,Pelham - Throgs Neck,0.7047143478690956,11X105,P.S. 105 Sen Abraham Bernstein,14.094286957381911,Moderate (0.5-1 mi)
07X500,Hostos-Lincoln Academy of Science,40.814857,-73.912038,Hunts Point - Mott Haven,0.22102375078183414,07X473,Mott Haven Village Preparatory High School,4.420475015636683,Very Close (<0.25 mi)
09X505,"Bronx School for Law, Government and Justice",40.827461,-73.919024,High Bridge - Morrisania,0.2591810906340276,09X328,New Millennium Bronx Academy of the Arts,5.183621812680553,Close (0.25-0.5 mi)
11X513,New World High School,40.888242,-73.852714,Northeast Bronx,0.6520672073064693,11X287,North Bronx School of Empowerment,13.041344146129386,Moderate (0.5-1 mi)
11X514,The Bronxwood Preparatory Academy,40.888242,-73.852714,Northeast Bronx,0.6520672073064693,11X287,North Bronx School of Empowerment,13.041344146129386,Moderate (0.5-1 mi)
09X517,Frederick Douglass Academy III Secondary School,40.833493,-73.903951,High Bridge - Morrisania,0.17688013507342176,09X055,P.S. 055 Benjamin Franklin,3.537602701468435,Very Close (<0.25 mi)
