dbn,school_name,uhf_name,has_mshp,health_burden_weighted,health_burden_rank,burden_tier,asthma_ed_rate,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,food_insecurity_pct,enrollment
09X593,South Bronx International Middle School,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,152.0
07X548,Careers in Sports High School,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,470.0
09X022,J.H.S. 022 Jordan L. Mott,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,303.0
09X055,P.S. 055 Benjamin Franklin,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,554.0
09X053,P.S. 053 Basheer Quisim,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,691.0
07X551,The Urban Assembly Bronx Academy of Letters,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,436.0
09X555,Mount Eden Children's Academy,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,411.0
07X029,P.S./M.S. 029 Melrose School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,684.0
07X031,P.S./M.S. 031 The William Lloyd Garrison,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,615.0
09X073,P.S. 073 Bronx,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,318.0
07X527,Bronx Leadership Academy II High School,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,393.0
08X559,School for Tourism and Hospitality,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,
09X505,"Bronx School for Law, Government and Justice",High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,714.0
07X001,P.S. 001 Courtlandt School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,447.0
09X517,Frederick Douglass Academy III Secondary School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,262.0
12X479,Bronx Career and College Preparatory High School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,162.0
07X522,Bronx Design and Construction Academy,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,240.0
09X088,P.S. X088 - S. Silverstein Little Sparrow School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,104.0
10X023,P.S. 023 The New Children's School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,387.0
09X568,Young Women's Leadership School of the Bronx,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,504.0
09X028,P.S. 028 Mount Hope,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,619.0
09X350,New Directions Secondary School,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,
75X352,The Vida Bogart School for All Children,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,
09X241,Urban Assembly School for Applied Math and Science,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,541.0
10X009,P.S. 9 Ryer Avenue Elementary School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,523.0
09X232,I.S. 232,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,279.0
12X316,Kappa III,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,272.0
09X231,Eagle Academy for Young Men,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,457.0
10X306,P.S. 306,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,416.0
09X229,I.S. 229 Roland Patterson,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,184.0
09X227,Bronx Collegiate Academy,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,454.0
10X226,P.S. 226,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,342.0
10X225,Theatre Arts Production Company School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,433.0
12X314,Fairmont Neighborhood School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,284.0
10X032,P.S. 032 Belmont,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,598.0
12X251,Explorations Academy H.S.,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,278.0
09X236,P.S. 236 Langston Hughes,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,343.0
09X303,I.S. X303 Leadership & Community Service,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,306.0
12X684,Wings Academy,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,261.0
12X286,Fannie Lou Hamer Middle School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,271.0
12X682,Fannie Lou Hamer Freedom High School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,441.0
10X291,P.S. 291,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,335.0
10X319,Providing Urban Learners Success In Education High,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,
09X329,DreamYard Preparatory School,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,320.0
12X691,Bronx Little School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,339.0
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,679.0
12X006,P.S. 006 West Farms,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,493.0
09X274,The New American Academy at Roberto Clemente State,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,381.0
09X252,Mott Hall Bronx High School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,335.0
12X273,Frederick Douglass Academy V. Middle School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,174.0
10X331,The Bronx School of Young Leaders,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,372.0
09X004,P.S./M.S. 004 Crotona Park West,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,251.0
10X003,P.S. 3 Raul Julia Micro Society,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,325.0
10X015,P.S. X015 Institute for Environmental Learning,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,396.0
12X595,P.S. 595,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,269.0
12X318,"I.S. X318 Math, Science & Technology Through Arts",Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,301.0
09X263,Validus Preparatory Academy,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,308.0
12X300,The School of Science and Applied Learning,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,423.0
09X339,I.S. 339,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,201.0
12X271,East Bronx Academy for the Future,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,688.0
12X098,J.H.S. 098 Herman Ridder,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,
12X214,P.S. 214,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,927.0
09X042,P.S. 042 Claremont,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,397.0
09X058,P.S. 058,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,319.0
09X163,P.S. 163 Arthur A. Schomburg,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,343.0
10X059,P.S. 059 The Community School of Technology,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,417.0
09X412,Bronx High School of Business,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,323.0
09X564,Claremont International HS,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,499.0
12X061,P.S. 061 Francisco Oller,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,195.0
12X066,P.S. 066 School of Higher Expectations,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,521.0
12X067,P.S. 067 Mohegan School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,343.0
09X070,P.S. 070 Max Schoenfeld,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,822.0
09X313,I.S. 313 School of Leadership Development,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,124.0
12X536,P.S. 536,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,311.0
