dbn,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian
09X063,0.96,0.199,0.238,0.317,0.632,0.028,0.009
11X180,0.773,0.028,0.207,0.676,0.253,0.017,0.032
07X343,0.9309999999999999,0.115,0.267,0.299,0.67,0.014,0.014
12X691,0.9179999999999999,0.21,0.232,0.157,0.668,0.013,0.154
11X016,0.914,0.126,0.18,0.371,0.471,0.029,0.054
09X058,0.9129999999999999,0.308,0.231,0.207,0.772,0.015,0.003
10X254,0.883,0.311,0.256,0.126,0.839,0.011,0.022
09X199,0.946,0.244,0.22,0.259,0.662,0.009,0.015
12X129,0.96,0.169,0.297,0.284,0.672,0.021,0.021
12X196,0.8809999999999999,0.355,0.193,0.142,0.789,0.012,0.026
09X055,0.96,0.076,0.175,0.45,0.54,0.006,0.0
10X080,0.895,0.359,0.235,0.144,0.732,0.032,0.07
09X204,0.871,0.151,0.234,0.239,0.72,0.015,0.009
07X296,0.9,0.082,0.386,0.377,0.573,0.023,0.0
07X029,0.9490000000000001,0.137,0.236,0.334,0.624,0.016,0.006
09X053,0.9109999999999999,0.367,0.127,0.266,0.701,0.015,0.017
08X036,0.764,0.143,0.153,0.094,0.477,0.048,0.352
09X070,0.96,0.256,0.215,0.207,0.774,0.006,0.008
12X195,0.868,0.333,0.184,0.145,0.804,0.004,0.024
12X531,0.9490000000000001,0.236,0.293,0.211,0.61,0.011,0.131
09X110,0.96,0.134,0.207,0.274,0.58,0.131,0.0
11X498,0.779,0.103,0.209,0.099,0.618,0.19,0.067
09X117,0.948,0.318,0.266,0.178,0.811,0.003,0.003
12X150,0.937,0.297,0.214,0.206,0.736,0.033,0.007
12X190,0.943,0.179,0.227,0.284,0.69,0.017,0.004
09X109,0.92,0.178,0.214,0.208,0.773,0.008,0.004
12X626,0.4,0.0,0.014,0.429,0.529,0.014,0.029
07X334,0.96,0.949,0.093,0.152,0.789,0.037,0.02
09X126,0.96,0.319,0.149,0.251,0.726,0.015,0.006
12X478,0.8740000000000001,0.083,0.247,0.207,0.741,0.014,0.017
09X088,0.9079999999999999,0.149,0.184,0.264,0.724,0.0,0.0
10X246,0.96,0.393,0.241,0.094,0.833,0.039,0.031
09X128,0.9109999999999999,0.12,0.268,0.354,0.615,0.022,0.003
07X298,0.9309999999999999,0.333,0.377,0.201,0.786,0.006,0.006
11X019,0.535,0.077,0.151,0.079,0.319,0.525,0.032
09X073,0.96,0.24,0.185,0.256,0.738,0.006,0.0
10X382,0.96,0.368,0.202,0.194,0.789,0.004,0.004
09X132,0.92,0.157,0.239,0.493,0.481,0.006,0.0
08X093,0.733,0.047,0.143,0.361,0.573,0.022,0.019
07X049,0.96,0.146,0.239,0.239,0.732,0.009,0.005
10X081,0.37200000000000005,0.06,0.173,0.063,0.512,0.309,0.06
10X264,0.804,0.116,0.281,0.256,0.664,0.021,0.034
09X229,0.96,0.138,0.392,0.343,0.63,0.022,0.006
10X086,0.903,0.318,0.229,0.077,0.856,0.021,0.033
12X067,0.96,0.117,0.223,0.292,0.682,0.006,0.0
09X004,0.932,0.13,0.278,0.481,0.491,0.012,0.003
11X181,0.805,0.035,0.24,0.573,0.282,0.036,0.077
09X231,0.816,0.049,0.345,0.531,0.427,0.013,0.011
09X232,0.96,0.341,0.248,0.192,0.799,0.009,0.0
08X583,0.831,0.105,0.161,0.086,0.456,0.04,0.394
09X236,0.96,0.151,0.272,0.216,0.763,0.0,0.013
09X011,0.948,0.209,0.202,0.26,0.715,0.013,0.007
07X025,0.96,0.222,0.261,0.098,0.882,0.004,0.008
12X217,0.96,0.167,0.363,0.33,0.619,0.015,0.03
08X562,0.8809999999999999,0.233,0.231,0.117,0.522,0.049,0.284
07X557,0.853,0.135,0.393,0.345,0.611,0.02,0.008
12X066,0.8909999999999999,0.179,0.181,0.269,0.702,0.01,0.01
12X536,0.9279999999999999,0.204,0.164,0.186,0.613,0.025,0.151
07X369,0.96,0.218,0.293,0.236,0.725,0.031,0.0
10X696,0.314,0.0,0.025,0.086,0.17,0.383,0.241
11X483,0.9009999999999999,0.066,0.156,0.527,0.325,0.049,0.058
10X549,0.9159999999999999,0.203,0.279,0.138,0.8,0.019,0.036
12X214,0.897,0.179,0.198,0.213,0.744,0.009,0.022
07X359,0.825,0.114,0.207,0.272,0.699,0.02,0.004
07X277,0.96,0.173,0.173,0.263,0.69,0.009,0.012
07X005,0.96,0.19,0.27,0.265,0.697,0.026,0.004
09X218,0.9159999999999999,0.227,0.182,0.035,0.913,0.008,0.024
12X098,0.96,0.351,0.26,0.214,0.688,0.013,0.052
12X211,0.922,0.14,0.201,0.164,0.804,0.012,0.01
09X035,0.96,0.257,0.246,0.241,0.717,0.015,0.002
09X219,0.96,0.227,0.397,0.376,0.583,0.029,0.004
12X684,0.894,0.089,0.294,0.465,0.496,0.018,0.007
10X085,0.946,0.229,0.207,0.309,0.661,0.006,0.01
09X028,0.96,0.309,0.248,0.192,0.785,0.008,0.007
10X565,0.879,0.167,0.293,0.215,0.707,0.012,0.056
09X042,0.96,0.196,0.34,0.321,0.647,0.019,0.006
10X319,0.903,0.164,0.248,0.133,0.655,0.012,0.0
09X022,0.96,0.35,0.223,0.236,0.732,0.022,0.003
12X521,0.925,0.174,0.28,0.238,0.729,0.018,0.011
10X374,0.907,0.141,0.234,0.263,0.67,0.019,0.035
09X227,0.877,0.162,0.213,0.295,0.663,0.005,0.025
10X342,0.873,0.782,0.108,0.0,1.0,0.0,0.0
