dbn,school_name,year,enrollment,chronic_absenteeism_rate
11X153,P.S. 153 Helen Keller,2024-25,458,22.92576408
11X160,P.S. 160 Walt Disney,2024-25,305,25.24590111
11X169,Baychester Academy,2024-25,382,36.12565613
11X175,P.S. 175 City Island,2024-25,280,26.4285717
11X178,P.S. 178 - Dr. Selman Waksman,2024-25,371,28.03234482
11X180,M.S. 180 Dr. Daniel Hale Williams,2024-25,802,35.78553772
11X181,I.S. 181 Pablo Casals,2024-25,509,32.02357483
11X189,Cornerstone Academy for Social Action,2024-25,287,37.97909546
11X194,P.S./M.S. 194,2024-25,1243,31.2148037
11X249,Bronx Health Sciences High School,2024-25,361,28.80886459
11X265,Bronx Lab School,2024-25,292,40.06849289
11X270,Academy for Scholarship and Entrepreneurship: A Co,2024-25,469,41.79104614
11X275,High School of Computers and Technology,2024-25,514,35.79766464
11X287,North Bronx School of Empowerment,2024-25,377,45.62334061
11X288,Collegiate Institute for Math and Science,2024-25,584,27.39726067
11X290,Bronx Academy of Health Careers,2024-25,334,28.44311333
11X299,Astor Collegiate Academy,2024-25,447,40.49216843
11X326,Bronx Green Middle School,2024-25,380,42.63158035
11X355,Bronx Alliance Middle School,2024-25,209,32.53588486
11X357,Young Voices Academy of the Bronx,2024-25,403,27.29528618
11X370,Leaders of Tomorrow,2024-25,455,47.25274658
11X418,Bronx High School for the Visual Arts,2024-25,430,37.6744194
11X455,Harry S Truman High School,2024-25,1806,21.4285717
11X462,Cornerstone Academy for Social Action Middle Schoo,2024-25,179,43.57542038
11X468,Pelham Academy of Academics and Community Engageme,2024-25,298,29.19463158
11X481,The STEAM Bridge School,2024-25,287,28.22299576
11X483,The Matilda Avenue School,2024-25,256,36.328125
11X498,P.S./M.S. 11X498 - Van Nest Academy,2024-25,615,23.57723618
11X508,Bronxdale High School,2024-25,409,25.42787361
11X509,High School of Language and Innovation,2024-25,434,28.11059952
11X513,New World High School,2024-25,324,25.92592621
11X514,The Bronxwood Preparatory Academy,2024-25,429,20.74592018
11X529,One World Middle School at Edenwald,2024-25,334,30.83832359
11X532,Baychester Middle School,2024-25,313,44.72843552
11X542,Pelham Preparatory Academy,2024-25,474,28.69198227
11X544,High School for Contemporary Arts,2024-25,315,53.01587296
11X545,Bronx Aerospace High School,2024-25,401,32.66832733
11X556,Bronx Park Middle School,2024-25,331,46.22356415
11X566,Pelham Gardens Middle School,2024-25,323,46.13003159
11X567,Linden Tree Elementary School,2024-25,349,34.95701981
12X006,P.S. 006 West Farms,2024-25,493,53.34685516
12X044,P.S. 044 David C. Farragut,2024-25,216,50.92592621
